Plate,State,License Type,Summons Number,Issue Date,Violation Time,Violation,Fine Amount,County
T678645C,NY,OMT,8938130101,1/1/2022,01:13A,PCKP DSCHRGE IN PRHBTD ZONE,$115.00 ,NY
GNV8795,NY,PAS,8874277921,1/1/2022,11:42A,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,NY
GCD3415,NY,PAS,8889458689,1/2/2022,03:04P,NO STANDING-FOR HIRE VEH STND,$115.00 ,Q
HKW3339,NY,PAS,8622386661,1/2/2022,11:56A,NO STANDING-FOR HIRE VEH STND,$115.00 ,NY
HUS4252,NY,PAS,1472458357,1/2/2022,05:07P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,Q
JNS2038,NY,PAS,8903664346,1/2/2022,07:38A,MISUSE PARKING PERMIT,$65.00 ,NY
GTL4841,NY,PAS,8830047545,1/2/2022,11:24A,MISUSE PARKING PERMIT,$65.00 ,NY
DZL8074,NY,PAS,8903664437,1/2/2022,07:53A,MISUSE PARKING PERMIT,$65.00 ,NY
ASEEL,NY,SRF,8968473675,1/2/2022,12:47P,MISUSE PARKING PERMIT,$65.00 ,BX
KLV4838,NY,PAS,8877594184,1/2/2022,08:50A,MISUSE PARKING PERMIT,$65.00 ,K
KSJ3320,NY,PAS,8968473742,1/2/2022,03:06P,MISUSE PARKING PERMIT,$65.00 ,BX
KHB9716,NY,999,5601182607,1/2/2022,03:57P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
GUU8517,NY,PAS,5601182656,1/2/2022,06:07P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
EBK6528,NY,PAS,5601182590,1/2/2022,03:39P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
JCX7183,NY,999,5601182577,1/2/2022,01:54P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
JHN6632,NY,PAS,5601182589,1/2/2022,03:23P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KRN4869,NY,PAS,5601182670,1/2/2022,07:07P,MOBILE BUS LANE VIOLATION,$150.00 ,MN
JHM4474,NY,PAS,5601182668,1/2/2022,06:46P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KJZ9030,NY,999,5601182693,1/2/2022,07:21P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
JGM7863,NY,999,5601182632,1/2/2022,05:59P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
HUJ8789,NY,999,5601182553,1/2/2022,10:09A,MOBILE BUS LANE VIOLATION,$200.00 ,MN
KKY7191,NY,PAS,5601182619,1/2/2022,04:02P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
KJR4091,NY,999,5601182644,1/2/2022,06:07P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KMX4104,NY,PAS,8927449769,1/2/2022,04:30P,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,NY
HYY7654,NY,PAS,8907912348,1/2/2022,11:37A,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,NY
67522MN,NY,COM,8885874484,1/2/2022,12:53P,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,NY
FDD1599,NY,PAS,8857602539,1/2/2022,02:44P,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,NY
KJH1007,NY,PAS,8953978154,1/2/2022,04:00P,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,NY
EVB6177,NY,PAS,8857602448,1/2/2022,12:17P,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,NY
JPT8300,NY,PAS,8857602540,1/2/2022,02:45P,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,NY
KGE9738,NY,PAS,8883620264,1/2/2022,09:25A,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,NY
JNV2731,NY,PAS,8786045623,1/2/2022,02:01P,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,NY
KFP4001,NY,PAS,8883620318,1/2/2022,09:48A,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,NY
HMV8621,NY,PAS,8883620537,1/2/2022,03:06P,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,NY
HUX4642,NY,PAS,8911384392,1/2/2022,10:43A,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,NY
GTL4841,NY,PAS,8830047557,1/2/2022,11:26A,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,NY
ANK3098,NY,PAS,8871519954,1/2/2022,12:20P,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,NY
HUE4359,NY,PAS,8946849381,1/3/2022,12:06P,NO STANDING-FOR HIRE VEH STND,$115.00 ,NY
JRU2156,NY,PAS,8888887581,1/3/2022,10:47A,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,R
CAJ1177,NY,PAS,1486342267,1/3/2022,10:45A,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,NY
CXP2727,NY,PAS,1486345797,1/3/2022,02:22P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,NY
MY66,NY,PAS,1486342413,1/3/2022,02:15P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,NY
EDT2442,NY,PAS,1486345773,1/3/2022,02:10P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,NY
JBH3226,NY,PAS,8609849259,1/3/2022,02:29P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,Q
KLV6141,NY,PAS,8889886973,1/3/2022,02:26P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,Q
HJR5801,NY,PAS,8889887126,1/3/2022,06:34P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,Q
TMPTAG,NY,ORG,8868130841,1/3/2022,04:18P,MISUSE PARKING PERMIT,$65.00 ,Q
KFT8722,NY,PAS,8607396924,1/3/2022,06:15A,MISUSE PARKING PERMIT,$65.00 ,NY
HKE9192,NY,PAS,8817707510,1/3/2022,01:39P,MISUSE PARKING PERMIT,$65.00 ,NY
GLH2745,NY,PAS,8864882091,1/3/2022,04:35P,MISUSE PARKING PERMIT,$65.00 ,NY
HKR8256,NY,PAS,8916659644,1/3/2022,06:18A,MISUSE PARKING PERMIT,$65.00 ,NY
F599KR,NY,PAS,8936944630,1/3/2022,04:56P,MISUSE PARKING PERMIT,$65.00 ,NY
HVD5796,NY,PAS,8864882224,1/3/2022,05:18P,MISUSE PARKING PERMIT,$65.00 ,NY
JJA7377,NY,PAS,8901695686,1/3/2022,09:16A,MISUSE PARKING PERMIT,$65.00 ,K
GLE1414,NY,PAS,8903131939,1/3/2022,03:29P,MISUSE PARKING PERMIT,$65.00 ,Q
308CPL,NY,ORG,8904095360,1/3/2022,03:52P,MISUSE PARKING PERMIT,$65.00 ,R
KJZ2441,NY,PAS,8937306062,1/3/2022,12:10P,MISUSE PARKING PERMIT,$65.00 ,NY
HRS5201,NY,PAS,8973024279,1/3/2022,10:12A,MISUSE PARKING PERMIT,$65.00 ,K
Y102118C,NY,OMT,8855946730,1/3/2022,10:38A,PCKP DSCHRGE IN PRHBTD ZONE,$115.00 ,NY
HDX4679,NY,PAS,8927839286,1/3/2022,12:42P,FRAUDULENT USE PARKING PERMIT,$65.00 ,NY
KDB9965,NY,PAS,8607396845,1/3/2022,05:59A,FRAUDULENT USE PARKING PERMIT,$65.00 ,NY
KEV7832,NY,PAS,8901695972,1/3/2022,10:21A,FRAUDULENT USE PARKING PERMIT,$65.00 ,K
HLG3841,NY,999,5601183533,1/3/2022,03:05P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
HGE5279,NY,PAS,5601183843,1/3/2022,04:41P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
50490ML,NY,COM,5601182899,1/3/2022,08:47A,MOBILE BUS LANE VIOLATION,$100.00 ,MN
T774423C,NY,OMT,5601182980,1/3/2022,09:27A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
64676NB,NY,COM,5601183557,1/3/2022,03:05P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
JPA2434,NY,PAS,5601183582,1/3/2022,03:24P,MOBILE BUS LANE VIOLATION,$150.00 ,MN
HKZ1044,NY,999,5601183910,1/3/2022,04:53P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
AGB8440,NY,PAS,5601183363,1/3/2022,01:03P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
GZZ6588,NY,999,5601183508,1/3/2022,03:03P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
JRM7333,NY,999,5601183132,1/3/2022,10:04A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KUB5216,NY,999,5601183417,1/3/2022,02:31P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KKR1775,NY,PAS,5601184239,1/3/2022,05:43P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
KFR8526,NY,PAS,5601182991,1/3/2022,09:34A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
Y102757C,NY,OMT,5601183594,1/3/2022,03:27P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
56905MN,NY,COM,5601183399,1/3/2022,02:28P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
HCZ2538,NY,PAS,5601183387,1/3/2022,02:26P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KPY2162,NY,999,5601183764,1/3/2022,04:08P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
JJJ8433,NY,OMS,5601183776,1/3/2022,04:20P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
JKK6447,NY,PAS,5601183820,1/3/2022,04:37P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
GLN6398,NY,PAS,5601183867,1/3/2022,04:46P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
GVW9753,NY,PAS,5601184082,1/3/2022,05:20P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
KTL1305,NY,PAS,5601184057,1/3/2022,05:06P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
